City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,quellon,-43.1167,-73.6167,12.14,100,100,1.03,CL,1683683085
161,constantia,44.1833,28.65,5.39,79,6,2.81,RO,1683682823
162,enewetak,11.3474,162.3373,27.26,84,93,7.22,MH,1683683086
163,el granada,37.5027,-122.4694,17.73,76,100,9.77,US,1683683086
164,pathein,16.7833,94.7333,31.79,59,100,0.88,MM,1683683086
165,flying fish cove,-10.4217,105.6791,27.82,83,75,5.66,CX,1683683086
166,kone,-21.0595,164.8658,25.25,49,99,3.81,NC,1683683086
167,jamestown,42.097,-79.2353,10.8,46,0,2.57,US,1683683087
168,talnakh,69.4865,88.3972,-17.74,96,86,2.66,RU,1683682977
169,nemuro,43.3236,145.575,7.37,90,99,8.16,JP,1683683033
170,todos santos,23.45,-110.2167,21.36,71,33,3.12,MX,1683683087
171,cabedelo,-6.9811,-34.8339,25.37,83,63,3.61,BR,1683683087
172,saudarkrokur,65.7461,-19.6394,3.61,97,100,0.7,IS,1683683087
173,mount pearl,47.5166,-52.7813,3.97,77,75,16.98,CA,1683682946
174,invercargill,-46.4,168.35,8.34,95,43,1.34,NZ,1683682966
175,weno,7.4515,151.8468,27.97,83,100,1.54,FM,1683682990
176,haiku-pauwela,20.9219,-156.3051,28.01,45,20,10.29,US,1683683056
177,geraldton,-28.7667,114.6,23.23,64,40,5.66,AU,1683683088
178,sandy,40.572,-111.8606,17.85,50,0,6.17,US,1683683062
179,inebolu,41.9747,33.7608,11.02,89,100,1.13,TR,1683683088
180,usinsk,65.9939,57.5281,-0.69,93,100,6.38,RU,1683683089
181,puerto aysen,-45.4,-72.7,9.8,92,92,0.68,CL,1683683016
182,kirakira,-10.4544,161.9205,29.88,72,27,4.86,SB,1683682906
183,arteche,12.2645,125.4048,30.4,62,82,1.85,PH,1683683089
184,fada,9.5667,8.3,23.59,63,100,1.39,NG,1683683089
185,kilinochchi,9.3961,80.3982,26.84,89,99,2.71,LK,1683682981
186,mbala,-8.8402,31.3659,13.19,90,70,3.53,ZM,1683683090
187,carrigaline,51.8117,-8.3986,10.86,93,75,4.12,IE,1683683090
188,kavaratti,10.5669,72.642,29.12,62,100,4.04,IN,1683683076
